      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          63.56              2         372.09
         593.23              7         462.88
          21.19              1         333.42
          21.19              1         237.68
         317.80              5         197.90
          21.19              1         306.29
         211.87              4         371.83
         444.92              6         271.59
          63.56              2         451.30
         317.80              5         276.58
         317.80              5         479.00
          63.56              2         396.75
         317.80              5         363.34
         211.87              4         223.41
          21.19              1         192.84
         444.92              6         346.88
          21.19              1         325.13
          63.56              2         358.62
         444.92              6         206.65
         127.12              3         333.24
         953.41              9         233.60
         317.80              5         227.38
         127.12              3         200.89
          21.19              1         535.79
           0.00              0         289.79
         127.12              3         184.33
          63.56              2         314.04
         593.23              7         165.16
          21.19              1         597.57
          63.56              2         221.22
         127.12              3         185.85
         444.92              6         325.33
         444.92              6         152.55
         127.12              3         189.68
         444.92              6         254.09
          63.56              2         394.55
         211.87              4         246.76
         127.12              3         418.42
          63.56              2         180.56
         953.41              9         166.43
         211.87              4         381.83
          21.19              1         170.71
         127.12              3         422.23
         127.12              3         317.72
         211.87              4         287.90
         317.80              5         116.83
         211.87              4         363.40
         593.23              7         106.77
         444.92              6         114.08
          63.56              2         329.26
         127.12              3         376.05
         317.80              5         334.87
         211.87              4         427.97
         317.80              5         357.70
         127.12              3         294.85
         211.87              4          93.57
          63.56              2         188.40
          63.56              2         308.99
         317.80              5         170.87
         127.12              3         213.95
         211.87              4         250.09
         127.12              3         382.05
         444.92              6         373.95
         593.23              7         465.79
           0.00              0         403.16
         127.12              3         341.44
         211.87              4         232.31
         211.87              4         229.71
          63.56              2         196.82
         317.80              5         302.68
          63.56              2         127.99
         317.80              5         358.81
          21.19              1         510.18
          21.19              1         176.42
          63.56              2         360.31
         211.87              4         151.01
          21.19              1         347.92
         127.12              3         427.55
          63.56              2         252.46
         211.87              4         133.68
         593.23              7         198.05
          63.56              2         187.36
         317.80              5         262.88
         593.23              7         465.11
         211.87              4         247.21
         444.92              6         330.08
           0.00              0         239.65
         444.92              6         294.56
           0.00              0         138.82
         593.23              7         206.39
         211.87              4         232.25
         127.12              3         329.28
          63.56              2         149.97
         762.73              8         231.70
