      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         127.12              3         171.46
         444.92              6         336.26
         127.12              3         346.52
        1165.28             10         248.97
         762.73              8         166.72
          63.56              2         198.25
         211.87              4         271.00
         444.92              6         258.38
          63.56              2         242.08
         593.23              7         478.69
         211.87              4         367.46
          63.56              2         162.50
          63.56              2         182.28
         317.80              5         462.87
         317.80              5         205.38
         211.87              4         213.20
          21.19              1         416.19
         211.87              4         413.46
         317.80              5         170.83
         953.41              9         364.30
         211.87              4          93.98
         211.87              4         176.47
          21.19              1         316.91
         211.87              4         293.73
         127.12              3         407.70
         444.92              6         514.21
         317.80              5         149.31
          63.56              2         125.26
         593.23              7         494.18
          21.19              1          89.38
         127.12              3         465.87
          21.19              1         350.16
         317.80              5         190.43
         127.12              3         141.01
         211.87              4         444.25
          63.56              2         281.35
         444.92              6         309.45
         444.92              6         335.04
         127.12              3         303.78
         211.87              4         450.59
         317.80              5         196.26
         211.87              4         337.69
         127.12              3         159.75
         211.87              4         380.86
         211.87              4         347.47
         127.12              3         308.42
         593.23              7         280.75
         127.12              3         235.75
         211.87              4         265.90
         127.12              3         320.12
          63.56              2         312.04
           0.00              0         267.12
          63.56              2         363.51
         317.80              5         318.48
         211.87              4         394.79
         444.92              6         162.10
         211.87              4         331.44
         211.87              4         364.27
         444.92              6         440.15
         762.73              8         195.45
         127.12              3         290.47
         762.73              8         430.11
         953.41              9         233.39
           0.00              0         227.41
         211.87              4         476.81
          21.19              1         261.50
         444.92              6         402.68
          63.56              2         208.85
         211.87              4         436.24
         211.87              4         428.75
         211.87              4         242.09
          63.56              2         182.03
         211.87              4         378.19
          63.56              2         407.61
         211.87              4         295.77
          63.56              2         394.07
         317.80              5         528.47
         211.87              4         377.79
         127.12              3         135.90
         593.23              7         259.56
         444.92              6         244.03
          63.56              2         263.14
          63.56              2         408.40
         127.12              3         344.50
         593.23              7         190.22
         211.87              4         277.74
         211.87              4         331.30
         444.92              6         184.17
         127.12              3         378.55
          21.19              1         501.46
          63.56              2         261.93
          63.56              2         274.84
         317.80              5         266.91
         444.92              6         165.44
         127.12              3         269.61
         762.73              8         277.23
         127.12              3         132.23
         317.80              5         256.68
         593.23              7         484.54
          21.19              1         267.77
         211.87              4         350.64
         317.80              5          97.09
