      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
          56.83              2         223.24
         610.42              8         187.70
         330.90              4         609.49
         271.21              3         624.02
         712.55              7         322.00
         327.24              4         535.94
         601.70              7         261.70
          83.18              1         140.75
         157.04              3         728.19
         397.19              6         253.52
         182.72              3         619.90
         315.89              5         260.85
         707.53              7         457.11
         738.66              7         200.37
         435.20              3         395.02
         273.78              5         516.11
         602.11              7         252.88
         325.22              5         359.83
         142.19              3         452.80
         708.33              7         390.01
         850.92              7          93.63
         158.31              3         406.06
         485.55              6         211.43
         237.66              3         782.53
          56.34              2         464.56
         250.59              4         257.46
         213.93              4         568.01
         116.05              3         476.11
         386.94              6         522.51
         596.67              5         212.20
         313.74              5         465.78
         279.22              4         527.78
         230.24              3         305.90
         292.05              4         219.02
         211.44              3         463.19
         141.54              2         271.26
         243.79              4         430.98
         113.47              3         621.54
         407.28              5         681.13
         340.39              5         563.22
         317.31              4         516.83
          82.95              2         856.67
          40.57              1         449.57
         170.31              3         656.66
         665.69              6         214.10
         483.82              6         249.74
         691.42              6         533.71
         525.00              7         478.28
         505.03              5         560.96
          97.73              3         626.38
         105.25              2         190.24
         160.71              3         431.66
          53.97              1         673.50
         352.70              5         769.62
         464.64              5         339.13
         177.43              3         321.36
          41.25              1         374.49
         443.54              6         506.19
         415.94              4         442.19
         144.70              2         408.49
         116.63              2         432.48
         236.86              3         432.50
         155.63              3         508.72
         234.27              3         585.47
         546.25              6         587.98
          63.47              2         308.89
         476.21              5         500.40
         223.12              4         604.99
         571.35              7         238.91
         201.84              3         218.94
         168.77              3         504.63
         460.30              5         391.00
         437.62              5         461.75
         336.27              3         437.67
         130.48              3         243.08
         134.57              3         464.89
         169.63              3         200.29
