   #Hard on HCl         #J all              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          57.25              2         213.26
          42.16              2         344.76
         732.22              9         489.53
          57.65              2         397.78
          63.89              2         300.94
          97.91              3         432.81
         312.23              5         212.09
         313.65              5         454.87
         120.25              3         328.81
         274.79              5         220.58
         422.19              6         241.05
         102.46              3         501.96
          45.35              2         241.70
         257.44              5         215.86
         150.41              4         511.46
         158.52              3         152.64
          11.77              1         247.09
         372.44              6         309.03
         209.75              4         165.60
         188.68              3         145.51
         652.85              8         186.59
         297.63              5         403.54
          60.20              2         397.69
          24.16              1         181.74
         321.43              5         481.14
        1054.34             10         255.51
         224.09              5         316.90
         265.15              5         308.21
          55.85              2         234.98
         304.59              5         422.71
          93.37              3         217.88
         224.48              4         261.95
        1171.05             10         425.99
          17.32              1         353.69
         260.69              4         588.42
         581.03              7         353.90
         735.30              8         363.38
         399.06              6         143.40
          45.78              2         397.22
         587.93              6         357.19
         105.20              3         359.98
         683.77              7         216.51
          58.12              2         211.94
          52.73              2         457.38
          61.90              2         407.92
         136.29              3         222.87
          64.12              2         357.03
         160.02              3         213.30
         517.77              6         306.75
         304.40              5         705.03
        1136.37             11         280.92
          94.32              3         206.34
         243.93              5         456.92
         153.40              4         451.44
         193.27              4         307.33
          85.87              2         281.21
        2236.73             14         456.91
         232.15              5         457.51
         132.81              3         184.86
         581.96              8         270.80
          44.19              2         188.80
         619.00              8         461.24
         477.51              7         204.41
         231.47              4         409.21
         734.45              8         304.08
          11.85              0         480.55
          20.14              1         350.06
         518.26              7         600.62
         337.32              6         251.43
         329.81              5         185.08
         136.74              3         340.70
         240.47              5         208.78
         119.08              3         236.22
         289.46              5         374.01
         414.06              6         565.64
          25.17              1         224.32
         419.49              7         296.29
          62.18              2         328.28
         116.57              3         686.09
          74.76              2         536.89
         353.88              6         255.52
         126.45              3         654.47
           3.12              0         404.70
           0.34              0         220.30
         209.60              5         742.81
          85.01              2         489.01
         595.53              7         287.11
         195.45              4         131.72
         107.82              3         331.85
         150.15              4         374.44
         198.62              4         513.09
         244.27              5         140.21
         364.26              5         528.34
          59.95              2         212.17
          71.19              2         319.41
         190.02              4         168.24
         295.60              5         270.44
          78.94              2         144.66
         358.27              5         520.25
         332.25              6         548.19
         352.27              5         506.73
         148.89              4         291.37
         313.62              5         303.07
         362.93              6         263.46
         630.27              8         212.71
         151.42              3         190.60
          70.48              2         199.31
         112.64              3         303.71
           4.92              0         347.57
         126.88              3         330.23
           5.29              0         408.82
         210.72              4         208.46
         167.73              4         244.49
         173.14              4         421.74
          29.30              1         274.78
